Tecnica,Epoca,Acuracia,Loss,Tempo(s)
Trivial,21,59.17,0.9765547883661487,2.811540126800537
Trivial,22,60.33,1.006791664075248,2.758176803588867
Trivial,23,59.08,0.9451505458807643,2.8039040565490723
Trivial,24,59.96,0.9256643030462386,2.7629101276397705
Trivial,25,59.61,0.9090017540545403,2.832709312438965
AugMix,1,42.37,1.8938617132887055,11.237213850021362
AugMix,2,46.27,1.5585810172406933,10.188338994979858
AugMix,3,49.6,1.4185372922993913,10.363649845123291
AugMix,4,53.12,1.29258737835703,10.421255350112915
AugMix,5,51.73,1.1963513455813444,10.391072034835815
AugMix,6,54.63,1.105901915061323,10.370405197143555
AugMix,7,55.54,0.9897512235218966,10.253396034240723
AugMix,8,56.12,0.8967502388773085,10.223206043243408
AugMix,9,55.48,0.8347048782095124,10.204120874404907
AugMix,10,56.87,0.764303224750712,10.434674978256226
AugMix,11,56.67,0.6952166994915733,10.22111201286316
AugMix,12,57.39,0.6780520451219776,10.50163197517395
AugMix,13,57.48,0.6077408141727689,10.144576787948608
AugMix,14,58.05,0.599657204332231,10.232868909835815
AugMix,15,57.55,0.586452657286125,10.344018936157227
AugMix,16,57.93,0.5477662501455862,10.979326248168945
AugMix,17,56.28,0.5510968094385122,10.815838098526001
AugMix,18,57.89,0.5279937107351762,10.995474338531494
AugMix,19,56.98,0.5068376690526551,10.617777109146118
AugMix,20,58.29,0.4818216818797437,10.717024087905884
AugMix,21,58.1,0.4722437475678287,10.56813383102417
AugMix,22,58.68,0.46362797595277616,10.627361059188843
AugMix,23,57.61,0.4336458056033412,10.73595380783081
AugMix,24,57.28,0.43628586658948587,13.5429048538208
AugMix,25,57.94,0.4269590289155139,10.534986972808838
Albument,1,38.85,1.941275166559823,2.544970989227295
Albument,2,43.84,1.6289209821556188,2.4391379356384277
Albument,3,50.02,1.4801066117950632,2.4815750122070312
Albument,4,51.27,1.3924621177625052,2.4526798725128174
Albument,5,55.8,1.3148367148411424,2.4911019802093506
Albument,6,56.18,1.237787122967877,2.493243932723999
Albument,7,55.7,1.1636306945281694,2.5110530853271484
Albument,8,56.68,1.0958806042429767,2.4539828300476074
Albument,9,58.36,1.063552119309389,2.492203950881958
Albument,10,59.82,0.9905356960960582,2.494741916656494
Albument,11,58.86,0.9491662337810178,2.4992191791534424
Albument,12,61.54,0.9156444895116589,2.4512388706207275
Albument,13,60.1,0.8795137080965163,2.597734212875366
Albument,14,62.03,0.8487059915367561,2.468290090560913
