Tecnica,Epoca,Acuracia,Loss,Tempo(s)
Rand->Albument,5,38.57,1.833866947889328,1.774418830871582
Rand->Albument,6,39.69,1.7783957242965698,1.812669038772583
Rand->Albument,7,42.73,1.7051808714866639,1.7894189357757568
Rand->Albument,8,42.53,1.67573282122612,1.7930748462677002
Rand->Albument,9,42.65,1.644796508550644,1.7719168663024902
Rand->Albument,10,44.38,1.6376386404037475,1.9180588722229004
Rand->Albument,11,46.34,1.5948166072368621,1.7811799049377441
Rand->Albument,12,47.13,1.590891969203949,1.8002469539642334
Rand->Albument,13,48.06,1.5169928789138794,1.7549381256103516
Rand->Albument,14,47.83,1.4916023135185241,1.7885088920593262
Rand->Albument,15,48.2,1.4676382958889007,1.8311138153076172
Rand->Albument,16,47.37,1.43852037191391,1.7702758312225342
Rand->Albument,17,47.25,1.475259643793106,1.7935397624969482
Rand->Albument,18,48.11,1.4013927757740021,1.756115198135376
Rand->Albument,19,48.85,1.3830235123634338,1.7973530292510986
Rand->Albument,20,50.48,1.3488185405731201,2.031824827194214
Rand->Albument,21,51.25,1.3291814625263214,1.8932318687438965
Rand->Albument,22,50.09,1.3244233787059785,1.7988758087158203
Rand->Albument,23,52.08,1.3138723075389862,1.775773048400879
Rand->Albument,24,51.79,1.3015988051891327,1.8055322170257568
Rand->Albument,25,52.83,1.2689380317926406,1.9304649829864502
Rand->AugMix,1,27.54,2.244146227836609,3.4309048652648926
Rand->AugMix,2,29.8,2.05806679725647,2.8239259719848633
Rand->AugMix,3,33.28,1.9735302329063416,2.6704609394073486
Rand->AugMix,4,34.78,1.88264319896698,2.6755001544952393
Rand->AugMix,5,36.38,1.7922564268112182,2.604412078857422
Rand->AugMix,6,42.21,1.7380932033061982,2.6298487186431885
Rand->AugMix,7,43.1,1.6663461983203889,2.585782051086426
Rand->AugMix,8,43.14,1.6314299643039702,2.631671667098999
Rand->AugMix,9,42.57,1.5776457369327546,2.5699639320373535
Rand->AugMix,10,43.97,1.5073043406009674,2.5722811222076416
Rand->AugMix,11,44.01,1.4675815939903258,2.7914109230041504
Rand->AugMix,12,46.94,1.4431674301624298,2.788240909576416
Rand->AugMix,13,47.0,1.3997095704078675,2.651895046234131
Rand->AugMix,14,47.89,1.3340737998485566,2.7854137420654297
Rand->AugMix,15,47.13,1.308637899160385,2.7494828701019287
Rand->AugMix,16,47.66,1.284829717874527,2.5826451778411865
Rand->AugMix,17,48.27,1.2628433167934419,2.5488598346710205
Rand->AugMix,18,48.27,1.2429006099700928,2.5233001708984375
Rand->AugMix,19,48.7,1.175093200802803,2.5341408252716064
Rand->AugMix,20,49.15,1.1196373522281646,2.708036184310913
Rand->AugMix,21,48.15,1.1718829929828645,2.550368070602417
Rand->AugMix,22,48.94,1.1172453969717027,2.5052378177642822
Rand->AugMix,23,50.16,1.092043486237526,2.5202219486236572
Rand->AugMix,24,49.84,1.0076609671115875,2.590955972671509
Rand->AugMix,25,49.21,1.0294290751218795,2.5651230812072754
Rand->CutMix,1,19.29,2.289514923095703,1.7223889827728271
Rand->CutMix,2,28.1,2.2160314440727236,1.762195110321045
Rand->CutMix,3,28.34,2.188460922241211,1.7198870182037354
Rand->CutMix,4,33.96,2.1312529027462004,1.7449548244476318
Rand->CutMix,5,35.16,2.125416612625122,1.720654010772705
Rand->CutMix,6,32.81,2.0538871943950654,1.7424073219299316
Rand->CutMix,7,36.09,2.1124553203582765,1.800339937210083
Rand->CutMix,8,39.82,2.071920120716095,1.7249362468719482
Rand->CutMix,9,40.2,2.030967706441879,1.754939079284668
Rand->CutMix,10,39.38,2.021417182683945,1.7099649906158447
Rand->CutMix,11,40.39,2.013969969749451,1.737678050994873
Rand->CutMix,12,41.87,1.9968381226062775,1.7294490337371826
Rand->CutMix,13,43.0,1.9867126524448395,1.7012159824371338
Rand->CutMix,14,39.54,1.9792835116386414,1.7362627983093262
Rand->CutMix,15,42.4,1.9532390654087066,1.706282138824463
Rand->CutMix,16,44.08,1.9508284628391266,1.796435832977295
Rand->CutMix,17,43.66,1.8643534541130067,1.7578997611999512
Rand->CutMix,18,43.58,1.9260399639606476,1.8116741180419922
Rand->CutMix,19,44.33,1.8671532332897187,1.7527248859405518
Rand->CutMix,20,44.94,1.8708179295063019,1.8116579055786133
Rand->CutMix,21,44.89,1.872095173597336,1.776332139968872
Rand->CutMix,22,45.59,1.7935084700584412,1.7465450763702393
Rand->CutMix,23,45.76,1.8810226619243622,1.737287998199463
Rand->CutMix,24,45.87,1.7352744936943054,1.7363080978393555
Rand->CutMix,25,46.61,1.850566828250885,1.7324018478393555
Trivial->Albument,1,24.98,2.2915178298950196,1.745699167251587
Trivial->Albument,2,26.79,2.1822153091430665,1.7344791889190674
Trivial->Albument,3,29.6,2.0903024196624758,1.9316301345825195
Trivial->Albument,4,33.43,2.0545089840888977,1.8091919422149658
Trivial->Albument,5,33.05,1.9764654159545898,1.739149808883667
Trivial->Albument,6,38.87,1.978474634885788,1.7339420318603516
Trivial->Albument,7,38.54,1.8972772061824799,1.731816291809082
Trivial->Albument,8,40.95,1.859583753347397,1.7278032302856445
Trivial->Albument,9,40.87,1.8471155524253846,1.7358379364013672
Trivial->Albument,10,43.29,1.772284871339798,1.7253036499023438
Trivial->Albument,11,40.9,1.7910358309745789,1.7264750003814697
Trivial->Albument,12,44.37,1.765643060207367,1.7534599304199219
Trivial->Albument,13,43.67,1.7612719774246215,1.735177993774414
Trivial->Albument,14,45.08,1.697402971982956,1.7291018962860107
Trivial->Albument,15,45.75,1.6784509420394897,1.722533941268921
Trivial->Albument,16,46.93,1.6655003666877746,1.7091779708862305
Trivial->Albument,17,45.48,1.6502711772918701,1.7972018718719482
Trivial->Albument,18,46.4,1.6671803176403046,1.769742727279663
Trivial->Albument,19,46.54,1.6278855741024016,1.7269151210784912
Trivial->Albument,20,47.18,1.5906603634357452,1.7267301082611084
Trivial->Albument,21,47.46,1.5557720899581908,1.717022180557251
Trivial->Albument,22,47.21,1.5750638961791992,1.7251777648925781
Trivial->Albument,23,47.78,1.5597886264324188,1.7283611297607422
Trivial->Albument,24,48.48,1.527931034564972,1.727888822555542
Trivial->Albument,25,47.2,1.5049795091152192,1.7358670234680176
Trivial->AugMix,1,26.83,2.256215453147888,2.493346691131592
Trivial->AugMix,2,27.8,2.1059599936008455,2.4998159408569336
Trivial->AugMix,3,34.62,2.0280558824539185,2.4943249225616455
Trivial->AugMix,4,35.69,1.9360640347003937,2.554335832595825
Trivial->AugMix,5,38.49,1.8818813264369965,2.5278379917144775
Trivial->AugMix,6,39.3,1.839282101392746,2.473670721054077
Trivial->AugMix,7,39.83,1.7937468111515045,2.4318718910217285
Trivial->AugMix,8,42.29,1.7751874327659607,2.53049373626709
Trivial->AugMix,9,43.14,1.7481785476207734,2.4584879875183105
Trivial->AugMix,10,44.2,1.6909252226352691,2.4492249488830566
Trivial->AugMix,11,44.5,1.5982726573944093,2.462885856628418
Trivial->AugMix,12,42.94,1.6459129929542542,2.452529191970825
Trivial->AugMix,13,43.7,1.6085217773914338,2.4614930152893066
Trivial->AugMix,14,43.3,1.5700749218463899,2.447707176208496
Trivial->AugMix,15,45.16,1.5362957239151,2.4668920040130615
Trivial->AugMix,16,47.83,1.5338723003864287,2.59013295173645
Trivial->AugMix,17,47.41,1.4944739937782288,2.517775058746338
Trivial->AugMix,18,47.43,1.3955142855644227,3.3161280155181885
Trivial->AugMix,19,48.35,1.4162329852581024,2.9512929916381836
Trivial->AugMix,20,48.28,1.365790331363678,2.8917219638824463
