Tecnica,Melhor_acc,Media_acc,Desvio,Ep_melhor,Loss_medio,Tempo_total(s)
Sem Aug,57.43,54.90839999999999,3.8498492178265895,19,0.4235857087455961,64.22460341453552
RandAug,62.58,56.813999999999986,6.802209812504561,21,1.1545039217532438,82.54078221321106
Trivial,60.33,55.55719999999999,5.959213119196192,22,1.3027468079705782,77.8338406085968
AugMix,58.68,55.43399999999999,4.017675530286967,22,0.7986691277389285,280.93052911758423
Albument,63.63,58.10800000000001,6.203208175344969,24,0.945788737354399,66.82567048072815
CutMix,60.25,55.2908,5.805619346805299,17,1.5355647402020947,63.262420415878296
Rand->Albument,64.72,57.5216,7.404719035858146,25,1.3266034146502048,87.08252239227295
Rand->AugMix,62.98,56.70120000000001,6.48090549229041,25,1.2509107276005083,166.37362456321716
Rand->CutMix,61.69,53.0012,7.693744926887036,25,1.8449030959455275,83.83915758132935
Trivial->Albument,62.88,55.37640000000001,7.173607809184999,23,1.5476760953589332,86.54058146476746
Trivial->AugMix,61.24,54.74679999999999,6.369414363450797,24,1.448839267869539,172.8936219215393
Trivial->CutMix,58.31,50.67920000000001,8.005584467524322,21,1.9278762501100954,77.25557565689087
Albument->CutMix,62.39,54.1276,7.551219702802985,25,1.7684564700609522,71.99750971794128
AugMix->CutMix,60.82,54.9568,6.14579783266583,24,1.649842131409464,152.80756330490112
Albument->Rand,63.07,57.61960000000001,7.054843182759865,22,0.9657220393494714,68.17732739448547
AugMix->Rand,56.72,53.787600000000005,3.942960266939887,17,0.6570837445557118,152.79020404815674
Albument->Trivial,63.06,58.07919999999999,6.428590384628136,25,0.9674566725537747,65.12734031677246
AugMix->Trivial,57.4,54.52639999999999,4.24306186615279,14,0.6453418080737413,154.58785700798035
Rand+Trivial (metades),62.35,56.2272,6.392331030226767,25,1.2254854509800295,79.07657408714294
Rand+Albument (metades),64.28,58.1896,6.254607954673631,23,1.0836799350946766,75.7202079296112
Rand+AugMix (metades),60.25,56.17839999999999,5.464324965934339,25,0.9387231564974485,122.33569502830505
Trivial+Albument (metades),63.59,58.097199999999994,6.194357324748602,22,1.1474323241997368,74.4206850528717
Trivial+AugMix (metades),59.72,55.927600000000005,4.9607461468344995,21,1.0040625441904312,113.90703797340393
Albument+AugMix (metades),61.03,56.906800000000004,4.836517100834717,23,0.8182631811310973,110.11996936798096
Rand->Trivial->Albument,60.82,51.04959999999999,7.721336499164722,25,1.7619645540020137,98.75039529800415
Rand->Trivial->AugMix,60.6,53.10159999999999,6.7974864717286,24,1.6939912505089483,211.06995725631714
Rand->Albument->CutMix,57.6,49.643199999999986,7.099856641745193,23,1.9460421541672719,92.94816398620605
Rand->AugMix->CutMix,61.95,53.0312,6.976870310772111,25,1.8954489743558665,181.0663194656372
Trivial->Rand->Albument,62.38,54.09800000000001,8.141975599734176,25,1.7096672706362568,106.54670929908752
Trivial->Rand->AugMix,61.46,53.60079999999999,7.738150037315121,22,1.6818718473820746,191.6251528263092
Trivial->Albument->CutMix,55.63,48.0536,6.751386203341258,25,2.017445033049282,84.783203125
Trivial->AugMix->CutMix,58.96,50.773999999999994,7.748218074714556,24,1.964237479620342,169.6189296245575
Rand+Trivial+Albument (terços),63.39,57.166399999999996,6.180541292368061,23,1.1714372859423674,78.73094177246094
Rand+Trivial+AugMix (terços),61.8,57.1992,6.213056091811823,23,1.081210545195809,106.52631855010986
Rand+Albument+AugMix (terços),62.24,57.138000000000005,5.4304596183625815,24,0.9486112282170525,108.09945964813232
Trivial+Albument+AugMix (terços),62.25,57.864799999999995,5.550579639401035,19,0.9929088915714733,105.26769638061523
