Tecnica,Epoca,Acuracia,Loss,Tempo(s)
Sem Aug,1,36.16,2.018490144610405,4.361541271209717
Sem Aug,2,40.52,1.6539926201105117,2.1493070125579834
Sem Aug,3,40.11,1.4730148628354072,1.881160020828247
Sem Aug,4,46.0,1.299711848795414,1.9157781600952148
Sem Aug,5,46.72,1.168966716527939,2.4368748664855957
Sem Aug,6,46.78,1.066875433921814,1.8704850673675537
Sem Aug,7,49.86,0.8981663465499878,1.9357750415802002
Sem Aug,8,46.63,0.74950340539217,1.916748046875
Sem Aug,9,49.45,0.6829958692193031,2.0598881244659424
Sem Aug,10,50.11,0.5339849945157766,1.8614530563354492
Sem Aug,11,49.72,0.3910113286226988,1.8622660636901855
Sem Aug,12,48.93,0.3177722912281752,1.9584918022155762
Sem Aug,13,49.81,0.24849065728485584,2.0697250366210938
Sem Aug,14,51.23,0.14970410726964473,2.2046267986297607
Sem Aug,15,50.46,0.08826556140556932,1.917060136795044
Sem Aug,16,50.84,0.06017925916239619,2.044508934020996
Sem Aug,17,50.22,0.0728858093265444,1.988649845123291
Sem Aug,18,50.55,0.0397529766894877,1.7921640872955322
Sem Aug,19,51.49,0.022817675373516977,1.8468596935272217
Sem Aug,20,49.23,0.11523190427105874,1.870255947113037
Sem Aug,21,51.2,0.03975223209708929,1.9620749950408936
Sem Aug,22,51.04,0.015098503686022013,1.8082540035247803
Sem Aug,23,51.69,0.007265834270219785,2.013974905014038
Sem Aug,24,51.63,0.004619301180355251,2.0292370319366455
Sem Aug,25,51.55,0.0036872112017590553,1.922795057296753
RandAug,1,24.83,2.215824246406555,2.5884618759155273
RandAug,2,36.42,2.0022520244121553,2.451627016067505
RandAug,3,41.43,1.8398928016424179,2.2007668018341064
RandAug,4,42.22,1.7250364810228347,2.2882349491119385
RandAug,5,40.77,1.674530017375946,2.3476510047912598
RandAug,6,44.92,1.6193223387002944,2.21281099319458
RandAug,7,47.44,1.572151818871498,2.4630672931671143
RandAug,8,48.29,1.4897736340761185,2.304826021194458
RandAug,9,49.33,1.475176990032196,2.3098299503326416
RandAug,10,48.78,1.4100060015916824,2.6578309535980225
RandAug,11,49.72,1.3616642206907272,2.42391300201416
RandAug,12,51.26,1.3227568209171294,2.177438974380493
RandAug,13,51.45,1.2755024313926697,2.306264877319336
RandAug,14,52.24,1.2388749778270722,2.2532312870025635
RandAug,15,51.47,1.1927550375461577,2.267578125
RandAug,16,52.55,1.1319267183542252,2.21134090423584
RandAug,17,54.42,1.1498208194971085,2.540285110473633
RandAug,18,54.19,1.085968728363514,2.3627448081970215
RandAug,19,55.21,1.059789238870144,2.1941959857940674
RandAug,20,52.84,1.0049437612295151,2.233840227127075
RandAug,21,53.22,0.971383535861969,2.2304770946502686
RandAug,22,55.64,1.0071914061903953,2.2122602462768555
RandAug,23,56.01,0.9190195292234421,3.380162000656128
RandAug,24,55.83,0.9185720399022103,2.7336530685424805
RandAug,25,57.68,0.8732148766517639,3.3479630947113037
Trivial,1,29.92,2.2186132669448853,3.150289297103882
Trivial,2,37.63,2.0031247049570085,2.1693480014801025
Trivial,3,42.77,1.8887861281633378,3.28013014793396
Trivial,4,43.37,1.833108827471733,2.685011386871338
Trivial,5,44.69,1.739288330078125,2.142014980316162
Trivial,6,46.12,1.7247468888759614,2.1457109451293945
Trivial,7,47.14,1.6665619671344758,2.0685818195343018
Trivial,8,45.0,1.6287250459194182,2.6434152126312256
Trivial,9,50.41,1.5793747156858444,3.052264928817749
Trivial,10,48.93,1.5235156863927841,2.1593048572540283
Trivial,11,51.43,1.507187807559967,2.122709035873413
Trivial,12,52.04,1.3913573026657104,2.256955146789551
Trivial,13,49.81,1.4091143280267715,2.3091318607330322
Trivial,14,51.43,1.3756265133619308,2.304939031600952
Trivial,15,52.93,1.3332790046930314,2.222761869430542
Trivial,16,53.07,1.2598710924386978,2.105579137802124
Trivial,17,53.91,1.2892483204603196,2.256255865097046
Trivial,18,52.84,1.193642483651638,2.3344271183013916
Trivial,19,53.82,1.211747083067894,2.7815630435943604
