Tecnica,Melhor_acc,Media_acc,Desvio,Ep_melhor,Loss_medio,Tempo_total(s)
Sem Aug,38.05,35.47479999999999,3.4600037572233937,24,0.6717971393675544,36.22416949272156
RandAug,41.88,36.118,5.128888768534564,22,1.5151166179776192,37.24108910560608
Trivial,41.45,35.7628,5.498138715359348,21,1.664862370491028,36.5601441860199
AugMix,40.95,36.794799999999995,4.4898859673715545,18,1.0104953871667386,54.67814087867737
Albument,43.08,37.3632,5.915069540306916,24,1.3374033257365228,33.890769481658936
CutMix,39.8,34.684400000000004,5.775712856435992,25,1.7252357518672943,33.3830349445343
Rand->Albument,43.45,36.24840000000001,6.7294023261108915,25,1.744914869070053,35.48614835739136
Rand->AugMix,41.37,35.6924,5.8769367587772,22,1.5820282632112503,41.35268235206604
Rand->CutMix,40.11,32.701600000000006,6.6316913880748904,25,2.0399285542964933,34.88282799720764
Trivial->Albument,42.2,34.5436,7.2475196216820725,25,1.9054905074834823,35.00976753234863
Trivial->AugMix,40.6,35.54800000000001,5.491176255290544,23,1.7426748156547547,44.51878595352173
Trivial->CutMix,38.3,31.752799999999997,6.819669786727213,23,2.105494722723961,35.76928400993347
Albument->CutMix,42.8,35.7052,6.632973264934311,24,1.954605706334114,36.01937484741211
AugMix->CutMix,39.98,34.327999999999996,6.729972758736348,24,1.8560915258526802,41.602683782577515
Albument->Rand,42.59,37.4636,5.705116037382588,24,1.3651553374528884,33.8082594871521
AugMix->Rand,38.64,34.818400000000004,3.9972508052410225,14,0.9663501027971506,39.97625184059143
Albument->Trivial,42.25,37.20919999999999,6.0163270356588825,22,1.3555371183156968,33.52564883232117
AugMix->Trivial,37.98,34.958800000000004,3.779836107558104,11,0.9309773223102092,40.03573799133301
Rand+Trivial (metades),42.12,35.36359999999999,6.54142115038213,25,1.6215647977590562,34.46982216835022
Rand+Albument (metades),41.26,36.1232,5.65345670069796,22,1.4825407692790031,38.30365777015686
Rand+AugMix (metades),41.46,36.237199999999994,5.101177576468659,24,1.288756013214588,58.503480672836304
Trivial+Albument (metades),42.26,36.376,6.061920075355662,20,1.5190604585409164,38.58911609649658
Trivial+AugMix (metades),40.29,36.3296,5.040574107513284,21,1.345344475209713,41.05179286003113
Albument+AugMix (metades),40.99,36.166,5.272372963539914,21,1.1851967492699622,40.59187936782837
Rand->Trivial->Albument,41.06,33.4568,6.443914260757975,23,2.0472462886571883,37.14071249961853
Rand->Trivial->AugMix,40.73,32.6288,7.114097694015736,22,2.0219722384214402,43.68890976905823
Rand->Albument->CutMix,40.94,32.77479999999999,6.820405730844268,24,2.1208556950092317,35.31522512435913
Rand->AugMix->CutMix,41.48,33.66319999999999,6.485525370649115,25,2.064885786175728,42.780226945877075
Trivial->Rand->Albument,41.23,32.53,7.076731236948312,25,2.045949484705925,36.98293113708496
Trivial->Rand->AugMix,39.92,32.7376,7.262775686104222,23,1.995806474685669,43.3832573890686
Trivial->Albument->CutMix,38.02,31.63,6.171854124437269,22,2.1545732218027114,35.64404034614563
Trivial->AugMix->CutMix,38.84,32.0272,5.898753060322722,25,2.119095703363419,44.12932109832764
Rand+Trivial+Albument (terços),42.57,36.606,5.752469035118746,23,1.540366993844509,34.676759243011475
Rand+Trivial+AugMix (terços),40.54,36.01720000000001,4.28558875768546,23,1.4568215176463126,39.26918315887451
Rand+Albument+AugMix (terços),41.27,36.462399999999995,4.778437924677896,21,1.267877277135849,38.44865417480469
Trivial+Albument+AugMix (terços),41.66,36.552400000000006,5.238540095611881,25,1.3300523340702057,37.67059898376465
