Tecnica,Epoca,Acuracia,Loss,Tempo(s)
Sem Aug,1,22.55,2.263060539960861,2.985177993774414
Sem Aug,2,29.54,2.0254520624876022,1.4470760822296143
Sem Aug,3,32.47,1.8277483880519867,1.3585879802703857
Sem Aug,4,31.63,1.6368131935596466,1.3989379405975342
Sem Aug,5,34.38,1.4269347488880157,1.401576042175293
Sem Aug,6,34.6,1.2877728641033173,1.4075791835784912
Sem Aug,7,33.98,1.1659018397331238,1.3937489986419678
Sem Aug,8,35.76,1.0210530310869217,1.4472413063049316
Sem Aug,9,35.27,0.8493731617927551,1.3761258125305176
Sem Aug,10,37.25,0.712133064866066,1.3830790519714355
Sem Aug,11,37.61,0.6158947944641113,1.3458948135375977
Sem Aug,12,36.53,0.4540046751499176,1.3739187717437744
Sem Aug,13,37.68,0.3636533059179783,1.3426239490509033
Sem Aug,14,37.06,0.28799388743937016,1.4157721996307373
Sem Aug,15,38.03,0.23331333696842194,1.3902950286865234
Sem Aug,16,37.13,0.1483663758262992,1.4269986152648926
Sem Aug,17,36.14,0.12492408696562052,1.3452582359313965
Sem Aug,18,37.28,0.10431477846577764,1.3816208839416504
Sem Aug,19,37.12,0.07641304517164826,1.4095399379730225
Sem Aug,20,37.84,0.0507931555621326,1.3741109371185303
Sem Aug,21,36.81,0.04114629281684756,1.3446459770202637
Sem Aug,22,37.31,0.03128041583113372,1.400688886642456
Sem Aug,23,37.26,0.021002103690989316,1.3793883323669434
Sem Aug,24,38.05,0.01448372658342123,1.3772928714752197
Sem Aug,25,37.59,0.011101608804892749,1.3681538105010986
RandAug,1,24.08,2.308885157108307,1.4811089038848877
RandAug,2,27.06,2.236182302236557,1.4713530540466309
RandAug,3,26.31,2.071602165699005,1.443418264389038
RandAug,4,29.62,1.95250603556633,1.451612949371338
RandAug,5,29.33,1.955433338880539,1.4809327125549316
RandAug,6,33.1,1.8339702785015106,1.4835760593414307
RandAug,7,33.1,1.7938904464244843,1.4542291164398193
RandAug,8,34.77,1.7761583179235458,1.4498629570007324
RandAug,9,36.31,1.683188557624817,1.4479279518127441
RandAug,10,36.63,1.5852656662464142,1.4531300067901611
RandAug,11,37.04,1.5377911478281021,1.4476690292358398
RandAug,12,38.07,1.5457371473312378,1.4644370079040527
RandAug,13,38.62,1.4560735672712326,1.4827589988708496
RandAug,14,38.47,1.4303085058927536,1.4905169010162354
RandAug,15,38.17,1.3711235523223877,1.4876790046691895
RandAug,16,38.98,1.2748734652996063,1.5487990379333496
RandAug,17,39.53,1.2806481719017029,1.4653239250183105
RandAug,18,39.81,1.2628476023674011,1.4688079357147217
RandAug,19,38.97,1.1929630637168884,1.4499289989471436
RandAug,20,40.69,1.1825383454561234,1.5040192604064941
RandAug,21,39.24,1.1370720714330673,1.4595210552215576
RandAug,22,41.88,1.0727689042687416,1.449004888534546
RandAug,23,41.15,0.9940554425120354,1.4565880298614502
RandAug,24,41.36,0.9909443333745003,1.4483611583709717
RandAug,25,40.66,0.9510878622531891,1.4574930667877197
Trivial,1,20.63,2.3052947223186493,1.4630658626556396
Trivial,2,26.54,2.1963355243206024,1.4276270866394043
Trivial,3,26.49,2.101191222667694,1.4344162940979004
Trivial,4,30.14,2.070698767900467,1.4249317646026611
Trivial,5,30.42,2.043171241879463,1.434919834136963
Trivial,6,30.51,1.902984693646431,1.446601152420044
Trivial,7,31.15,1.9068655371665955,1.4293761253356934
Trivial,8,35.02,1.8571668714284897,1.440181016921997
Trivial,9,35.57,1.8112512528896332,1.3951606750488281
Trivial,10,36.89,1.7611085623502731,1.4861671924591064
Trivial,11,38.14,1.6999408602714539,1.699249267578125
Trivial,12,37.63,1.6485170871019363,1.4630458354949951
Trivial,13,38.55,1.6328362673521042,1.8090851306915283
Trivial,14,38.68,1.6375913321971893,1.591088056564331
Trivial,15,39.03,1.5225045084953308,1.59397292137146
Trivial,16,38.78,1.445775419473648,1.5586600303649902
Trivial,17,39.07,1.4617422223091125,1.43422532081604
Trivial,18,39.14,1.4881802648305893,1.799424171447754
Trivial,19,38.39,1.4409691989421844,1.4750430583953857
Trivial,20,40.53,1.3904423117637634,1.4654948711395264
Trivial,21,41.45,1.290509656071663,1.5378351211547852
Trivial,22,39.96,1.3252867460250854,1.4594438076019287
Trivial,23,39.52,1.1952949166297913,1.4923698902130127
Trivial,24,40.66,1.2594807296991348,1.5160880088806152
Trivial,25,41.18,1.2264193445444107,1.7017042636871338
AugMix,1,22.52,2.257743179798126,3.0668139457702637
AugMix,2,27.8,1.994521364569664,2.5882790088653564
AugMix,3,31.71,1.8529775589704514,2.404917001724243
AugMix,4,30.7,1.7222327888011932,2.325455904006958
AugMix,5,35.51,1.6195130050182343,2.2825043201446533
AugMix,6,33.99,1.4844466000795364,2.2174761295318604
AugMix,7,38.18,1.3916770070791245,2.289403200149536
AugMix,8,35.57,1.2256010621786118,2.259392023086548
AugMix,9,36.09,1.1585773527622223,2.7667040824890137
AugMix,10,35.82,1.058940514922142,2.2955048084259033
AugMix,11,38.76,0.9552890956401825,2.2357518672943115
AugMix,12,37.84,0.8732357770204544,2.1544189453125
AugMix,13,38.93,0.822592206299305,2.344373941421509
AugMix,14,38.26,0.7933109402656555,2.1958820819854736
AugMix,15,38.49,0.6992479935288429,2.178025960922241
AugMix,16,39.3,0.6751958951354027,2.209336042404175
AugMix,17,38.25,0.6501177251338959,2.369926929473877
AugMix,18,40.95,0.6044992879033089,2.336923837661743
AugMix,19,39.28,0.5937297642230988,2.294128179550171
AugMix,20,40.15,0.5127092860639095,2.5144009590148926
AugMix,21,39.99,0.5025482662022114,2.568011999130249
AugMix,22,40.03,0.49709390476346016,2.2986040115356445
AugMix,23,40.75,0.4344884008169174,2.293631076812744
AugMix,24,40.08,0.4799721948802471,2.283581256866455
AugMix,25,40.92,0.40212350711226463,2.318758964538574
Albument,1,17.89,2.301734060049057,1.5693440437316895
Albument,2,28.09,2.1503157019615173,1.5108799934387207
Albument,3,28.0,2.0156575739383698,1.5464999675750732
Albument,4,30.67,1.9063908606767654,1.5221858024597168
Albument,5,32.68,1.8539967387914658,1.4554758071899414
Albument,6,36.31,1.7551025748252869,1.5664730072021484
Albument,7,35.21,1.6242886930704117,1.5436298847198486
Albument,8,35.72,1.590967983007431,1.8245768547058105
Albument,9,37.49,1.502932146191597,1.634972095489502
Albument,10,38.49,1.4125696271657944,1.5938642024993896
Albument,11,38.55,1.3836491107940674,1.411257028579712
Albument,12,39.82,1.2806107699871063,1.473127841949463
Albument,13,40.55,1.2729471325874329,1.5547289848327637
Albument,14,39.56,1.2204408273100853,1.4832830429077148
Albument,15,41.17,1.1738076508045197,1.380683183670044
Albument,16,39.26,1.0984240621328354,1.6329550743103027
Albument,17,42.21,1.0889424830675125,1.8674778938293457
Albument,18,41.91,1.0093020796775818,1.621246099472046
Albument,19,41.29,0.9461211487650871,1.4562740325927734
Albument,20,40.88,0.8977418467402458,1.462005853652954
Albument,21,39.89,0.8941987678408623,1.745162010192871
Albument,22,41.62,0.8413385078310966,1.6318531036376953
Albument,23,42.1,0.7728199139237404,1.83774995803833
Albument,24,43.08,0.70988430082798,1.7401819229125977
Albument,25,41.64,0.7308985814452171,1.5660243034362793
CutMix,1,17.71,2.3143553137779236,1.7881968021392822
CutMix,2,22.92,2.252366781234741,1.5501420497894287
CutMix,3,26.06,2.1438067853450775,1.639876127243042
CutMix,4,26.24,2.074641525745392,1.7964060306549072
CutMix,5,30.39,2.039879262447357,1.6024870872497559
CutMix,6,33.84,1.9678772240877151,1.5267279148101807
CutMix,7,32.69,1.8994325995445251,1.4031169414520264
CutMix,8,34.31,1.8720861971378326,1.6020021438598633
CutMix,9,35.82,1.7408569157123566,1.4979848861694336
CutMix,10,33.93,1.835212379693985,1.4727718830108643
CutMix,11,36.77,1.8204650282859802,1.5286169052124023
CutMix,12,37.2,1.6345581859350204,1.389129877090454
CutMix,13,36.41,1.6120923608541489,1.3917031288146973
CutMix,14,37.89,1.6645369827747345,1.3978259563446045
CutMix,15,37.9,1.5179287493228912,1.3890619277954102
CutMix,16,39.34,1.7068335860967636,1.4030020236968994
CutMix,17,38.71,1.349977821111679,1.835819959640503
CutMix,18,36.81,1.5573257952928543,1.5950112342834473
CutMix,19,38.87,1.5031326860189438,1.6067070960998535
CutMix,20,39.13,1.455897405743599,1.5788679122924805
CutMix,21,39.46,1.5972998440265656,1.4015350341796875
CutMix,22,39.09,1.3504312261939049,1.3878841400146484
CutMix,23,38.15,1.4605455845594406,1.3866262435913086
CutMix,24,37.67,1.4423205107450485,1.4367961883544922
CutMix,25,39.8,1.3170330449938774,1.8514537811279297
Rand->Albument,1,21.11,2.3000041842460632,1.9956841468811035
Rand->Albument,2,23.08,2.248170793056488,1.53969407081604
Rand->Albument,3,24.32,2.187898278236389,1.4436638355255127
Rand->Albument,4,27.15,2.1075729429721832,1.4731218814849854
Rand->Albument,5,28.11,2.0665933191776276,1.5202288627624512
Rand->Albument,6,31.07,2.0124403089284897,1.5128180980682373
Rand->Albument,7,32.95,1.901657909154892,1.4762279987335205
Rand->Albument,8,34.36,1.8599993139505386,1.4599988460540771
Rand->Albument,9,34.95,1.8233195096254349,1.4455070495605469
Rand->Albument,10,37.72,1.768430471420288,1.48032808303833
Rand->Albument,11,37.35,1.7921394407749176,1.4558947086334229
Rand->Albument,12,39.81,1.7145863324403763,1.4829597473144531
Rand->Albument,13,39.5,1.6623921394348145,1.4718589782714844
Rand->Albument,14,40.18,1.632511854171753,1.4757850170135498
Rand->Albument,15,38.92,1.6534471660852432,1.5155220031738281
Rand->Albument,16,41.14,1.6138848811388016,1.4891438484191895
Rand->Albument,17,40.6,1.529543399810791,1.461456060409546
Rand->Albument,18,39.08,1.5044879615306854,1.4410221576690674
Rand->Albument,19,40.52,1.567062720656395,1.4654839038848877
Rand->Albument,20,41.42,1.4982185661792755,1.4358761310577393
Rand->Albument,21,42.33,1.4130569100379944,1.551844835281372
Rand->Albument,22,40.76,1.4566167443990707,1.4732730388641357
Rand->Albument,23,43.27,1.4992952793836594,1.4356107711791992
Rand->Albument,24,43.06,1.4440302103757858,1.4306459426879883
Rand->Albument,25,43.45,1.3655110895633698,1.476344108581543
